Date,Description,Investment,Asset Code,Pot,Account,No. Shares,Share Price (£),Total Value (£)
20-Jun-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0205,125.1598,2.57
20-Jun-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.1478,13.2496,1.96
20-Jun-22,Purchase,UB23,UB23,My Nutmeg Pot,ISA,0.0866,30.3367,2.63
20-Jun-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,2.5461,6.4339,16.38
20-Jun-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.1025,309.3314,31.71
20-Jun-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.26,18.4667,4.8
20-Jun-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.4215,11.4944,4.84
20-Jun-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0223,315.9534,7.05
20-Jun-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,0.4849,8.7873,4.26
20-Jun-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,1.3386,30.9244,41.4
20-Jun-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.1479,36.1593,5.35
17-Jun-22,Interest,CASH,N/A,Unallocated Cash,General,0,0,0.02
17-Jun-22,Interest,CASH,N/A,Unallocated Cash,ISA,0,0,0.03
17-Jun-22,Interest,CASH,N/A,My Nutmeg Pot,ISA,0,0,0.03
16-Jun-22,Sale,VMID,VMID,My Nutmeg Pot,ISA,2.9249,29,84.82
16-Jun-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,12.5674,6.962,87.49
14-Jun-22,Purchase,UB23,UB23,My Nutmeg Pot,ISA,4.3449,32.075,139.36
14-Jun-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.1226,18.689,2.29
14-Jun-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.1569,13.928,2.19
14-Jun-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,10.2649,24.46,251.08
14-Jun-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,1.5763,6.552,10.33
14-Jun-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.1282,17.2936,2.22
14-Jun-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.0508,81.965,4.16
14-Jun-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.4097,31.9256,13.08
14-Jun-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0134,326.9939,4.38
14-Jun-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.235,11.703,2.75
14-Jun-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0311,28.5822,0.89
14-Jun-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.0857,36.8543,3.16
14-Jun-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.0536,319.1637,17.11
14-Jun-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0044,205.0959,0.9
14-Jun-22,Sale,VMID,VMID,My Nutmeg Pot,ISA,2.7438,29.79,81.74
14-Jun-22,Sale,SRUG,SRUG,My Nutmeg Pot,ISA,6.0043,13.506,81.09
14-Jun-22,Sale,SUUS,SUUS,My Nutmeg Pot,ISA,5.7931,9.078,52.59
14-Jun-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,18.0515,7.096,128.09
14-Jun-22,Sale,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.844,128.04,108.07
14-Jun-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.1197,19.0841,2.28
14-Jun-22,Sale,LCJP,LCJP,My Nutmeg Pot,ISA,14.9197,10.926,163.01
14-Jun-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.213,11.7428,2.5
09-Jun-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,1.1974,11.329,13.57
09-Jun-22,Purchase,UB23,UB23,My Nutmeg Pot,ISA,0.0767,33.5942,2.58
09-Jun-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,1.0399,33.5957,34.94
09-Jun-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.1875,339.0271,63.57
09-Jun-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,2.3239,7.4836,17.39
09-Jun-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.6,12.6647,7.6
09-Jun-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.3318,14.8784,4.94
09-Jun-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.2852,18.2017,5.19
09-Jun-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0652,134.2907,8.76
09-Jun-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.1439,87.7073,12.62
09-Jun-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.457,19.9834,9.13
09-Jun-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.1859,39.2158,7.29
09-Jun-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,1.0813,9.5835,10.36
09-Jun-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,4.0318,7.233,29.16
09-Jun-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0391,352.0836,13.77
09-Jun-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.5328,25.1939,13.42
09-Jun-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.293,15.0127,4.4
